source_id,category,title,authors,year,period_market,definition_or_method,key_result,limitation,url,accessed
S11,학술-거래량,The High-Volume Return Premium,Gervais Kaniel & Mingelgrin,2001,"1963-1996; NYSE","자체 과거 대비 비정상 거래량","고거래량 종목의 다음달 수익 프리미엄","눌림 거래량 감소 통념과 다를 수 있음",https://doi.org/10.1111/0022-1082.00349,2026-08-30
S12,학술-지지저항,Support for Resistance: Technical Analysis and Intraday Exchange Rates,Osler,2000,"1996-1998; 주요 FX 1분","기관 발표 지지·저항과 임의 가격 비교","발표 가격대에서 추세중단 확률 4-6%p 높음","FX 장중; 비용 후 수익 미검증",https://www.newyorkfed.org/medialibrary/media/research/epr/00v06n2/0007osle.pdf,2026-08-30
S13,학술-미시구조,Technical Analysis and Liquidity Provision,Kavajecz & Odders-White,2004,"1997년; NYSE 110종목 주문장","두 번 이상 형성된 고저점과 주문 깊이","지지·저항과 대기주문 깊이 연관","이후 초과수익 미검증",https://doi.org/10.1093/rfs/hhg057,2026-08-30
S14,학술-기술규칙,Simple Technical Trading Rules and the Stochastic Properties of Stock Returns,Brock Lakonishok & LeBaron,1992,"1897-1986; DJIA","이동평균·트레이딩레인지 돌파 26규칙","매수신호 후 수익이 매도신호 후보다 높음","오래된 단일지수; 비용·탐색 편향",https://doi.org/10.1111/j.1540-6261.1992.tb04681.x,2026-08-30
S15,학술-과최적화,Data-Snooping Technical Trading Rule Performance and the Bootstrap,Sullivan Timmermann & White,1999,"1897-1996; DJIA; 1987-1996 OOS","7,846규칙; White Reality Check","최근 OOS에서 경제적 가치 없음","단일지수 중심",https://doi.org/10.1111/0022-1082.00163,2026-08-30
S16,학술-과최적화,Technical Trading Revisited,Bajgrowicz & Scaillet,2012,"1897-2011; DJIA","7,846규칙; 허위발견률·지속성·비용","낮은 비용에도 표본내 성과 소멸","개별주 눌림 직접 검증 아님",https://doi.org/10.1016/j.jfineco.2012.06.001,2026-08-30
S17,학술-패턴,Foundations of Technical Analysis,Lo Mamaysky & Wang,2000,"1962-1996; 미국 주식","커널 회귀로 차트패턴 객관화","일부 패턴의 조건부 분포가 무조건부와 다름","통계 정보성이 거래수익을 보장하지 않음",https://doi.org/10.1111/0022-1082.00265,2026-08-30
S18,학술-이동평균,A New Anomaly: The Cross-Sectional Profitability of Technical Analysis,Han Yang & Zhou,2013,"1963-2009; 미국 주식","가격이 MA 위일 때만 포트폴리오 보유","고변동 포트폴리오에서 타이밍 성과","개별주 MA 접촉/눌림 전략 아님",https://doi.org/10.1017/S0022109013000586,2026-08-30
S19,공개백테스트,A Simple Pullback Strategy,Joe Marwood,2018,"SPY 1995-2018; OOS 2010-2018","종가>MA200·종가<MA10; 익일 시가 매수; MA10 회복 청산","OOS CAR 6.31%; MDD -12.41%; 163회","선취매; 슬리피지 미기재",https://stocksoftresearch.com/a-simple-pullback-strategy/,2026-08-30
S20,공개백테스트,200 Day Moving Average Pullback,Joe Marwood,2017,"S&P 500 종목 2000-2017; 3894신호","MA200 100일 상회 후 당일 접촉; 익일 시가","1일 -0.13%; 50일 +2.2%; 단독 edge 약함","비용 미반영; 시점별 구성 불명",https://stocksoftresearch.com/200-day-moving-average-pullback/,2026-08-30
S21,공개백테스트,Simple Ideas for a Mean Reversion Strategy,Cesar Alvarez,2014,"Russell 1000 2004-2014","MA100 위·MA5 아래·3일 lower low; ATR 지정가","평균 CAR 22.35%; MDD 21.02%","OOS 없음; 지정가 체결 현실성",https://alvarezquanttrading.com/blog/simple-ideas-for-a-mean-reversion-strategy-with-good-results/,2026-08-30
S22,공개백테스트,ConnorsRSI Pullback Strategy Guidebook,Connors Research,2012,"미국 주식 2001-2012","다수 ConnorsRSI·ADX·지정가 조합","일부 조합 높은 평균수익/승률","수천 조합 동일표본; 비용·OOS 없음",https://alvarezquanttrading.com/wp-content/uploads/2016/05/ConnorsRSIGuidebook.pdf,2026-08-30
S23,관찰통계,Throwbacks and Pullbacks,Thomas Bulkowski,2008,"1991-2008; 841 미국주식; 9372패턴","상승 돌파 후 되돌림 수동 분류","얕은 되돌림군의 사후 상승폭이 더 큼","사후 ultimate high; 비용·포트폴리오 없음",https://www.thepatternsite.com/ThrowPull.html,2026-08-30
S24,학술-거래량,Volume and Price Patterns Around a Stock's 52-Week Highs and Lows,Huddart Lang & Yetman,2008,"1982-2006; CRSP 2000사","52주 범위 돌파 전후 회전율 event study","돌파 시 turnover 급증 후 정상화","거래 전략/미래수익 검증 아님",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=353749,2026-08-30
S25,정책-거래비용,2025년 국내주식 매매관련 세금 공시,한국거래소 KIND,2026,"2025 세율 공시","코스피 0.05%+농특세 0.15%; 코스닥 0.20%","한국 비용 가정의 기준","기간별 역사세율 전체표는 아님",https://kind.krx.co.kr/external/2026/05/29/001471/20260529002360/11013.htm,2026-08-30
S26,데이터,Daily OHLCV Chart API,Yahoo Finance,2026,"2015-2025; 80 현행 유동성 표본+지수","분할조정 일별 OHLCV","자체 백테스트 원시 시계열","공식 보장 API가 아니며 배당 총수익 미포함; 현재 표본 생존편향",https://finance.yahoo.com/,2026-08-30
